CountryCode,SeriesCode,Year,DESCRIPTION
"GBR","SH.STA.OWAD.ZS","YR2019","Plausible bound is 59.96 - 62.32."
"GBR","SH.STA.OWAD.ZS","YR2020","Plausible bound is 59.81 - 62.63."
"GBR","SH.STA.OWAD.ZS","YR2021","Plausible bound is 59.61 - 62.96."
"GBR","SH.STA.OWAD.ZS","YR2022","Plausible bound is 59.42 - 63.34."
"GBR","SI.DST.FRST.20","YR1968","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1969","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1970","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1971","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1972","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1973","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1974","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1975","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1976","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1977","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1978","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1979","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1980","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1981","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1982","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1983","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1984","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1985","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1986","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1987","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1988","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1989","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1990","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1991","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1992","Based on data from FES-LIS. Estimated from unit-record income data."
